0  |       Art and Architecture|                        BBB|   617.600327
137|                        DOW|                        IOE|   280.808879
138|                        DOW|                       LBME|   336.772385
139|                        DOW|      Music, Theater, Dance|   414.933493
140|                        DOW|                       NAME|   550.546788
141|                        DOW|                       NCRC|   825.518493
142|                        DOW|                       Name|   569.001865
143|                        DOW|                  Pierpoint|   147.045193
144|                        DOW|                   Pierpont|   158.531534
145|                        DOW|                     STAMPS|   124.186725
146|                        DOW|              Wilson Center|   288.600243
147|                       DUDE|                       EECS|   247.069718
148|                       DUDE|                      ENGIN|   114.229634
149|                       DUDE|                       EWRE|   268.927566
150|                       DUDE|                      FMCRB|   497.181953
151|                       DUDE|                        FXB|   330.530544
152|                       DUDE|                       GGBL|   230.762266
153|                       DUDE|  Gorguze Family Laboratory|   390.530544
154|                       DUDE|                        IOE|   145.956940
155|                       DUDE|                       LBME|   319.362618
156|                       DUDE|      Music, Theater, Dance|   355.174761
157|                       DUDE|                       NAME|   643.644214
158|                       DUDE|                       NCRC|   918.615919
159|                       DUDE|                       Name|   662.099291
160|                       DUDE|                  Pierpoint|   263.406969
161|                       DUDE|                   Pierpont|    98.772802
162|                       DUDE|                     STAMPS|    64.427993
163|                       DUDE|              Wilson Center|   381.697669
164|                       EECS|                      ENGIN|   152.744317
165|                       EECS|                       EWRE|    21.857848
166|                       EECS|                      FMCRB|   307.747272
167|                       EECS|                        FXB|   141.095863
168|                       EECS|                       GGBL|    54.189706
169|                       EECS|  Gorguze Family Laboratory|   201.095863
170|                       EECS|                        IOE|   184.471624
171|                       EECS|                       LBME|   290.177794
172|                       EECS|      Music, Theater, Dance|   433.105045
173|                       EECS|                       NAME|   454.209533
174|                       EECS|                       NCRC|   729.181238
175|                       EECS|                       Name|   472.664611
176|                       EECS|                  Pierpoint|   182.669220
177|                       EECS|                   Pierpont|   176.703085
178|                       EECS|                     STAMPS|   211.047894
179|                       EECS|              Wilson Center|   192.262988
180|                      ENGIN|                       EWRE|   174.602165
181|                      ENGIN|                      FMCRB|   382.952319
182|                      ENGIN|                        FXB|   216.300911
183|                      ENGIN|                       GGBL|   206.934023
184|                      ENGIN|  Gorguze Family Laboratory|   276.300911
185|                      ENGIN|                        IOE|    31.727306
186|                      ENGIN|                       LBME|   205.132984
187|                      ENGIN|      Music, Theater, Dance|   469.404395
188|                      ENGIN|                       NAME|   529.414580
189|                      ENGIN|                       NCRC|   804.386285
190|                      ENGIN|                       Name|   547.869658
191|                      ENGIN|                  Pierpoint|   335.413538
192|                      ENGIN|                   Pierpont|   213.002436
